"","date","pm10_max"
"737",2019-10-17,31
"738",2019-10-18,78
"739",2019-10-19,98
"740",2019-10-20,98
"741",2019-10-21,169
"742",2019-10-22,61
"743",2019-10-23,83
"744",2019-10-24,120
"745",2019-10-25,86
"746",2019-10-26,77
"747",2019-10-27,83
"748",2019-10-28,109
"749",2019-10-29,92
"750",2019-10-30,108
"751",2019-10-31,66
"752",2019-11-01,86
"753",2019-11-02,100
"754",2019-11-03,57
"755",2019-11-04,108
"756",2019-11-05,198
"757",2019-11-06,117
"758",2019-11-07,119
"759",2019-11-08,131
"760",2019-11-09,52
"761",2019-11-10,122
"762",2019-11-11,205
"763",2019-11-12,86
"764",2019-11-13,164
"765",2019-11-14,98
"766",2019-11-15,103
"767",2019-11-16,139
"768",2019-11-17,131
"769",2019-11-18,101
"770",2019-11-19,134
"771",2019-11-20,219
"772",2019-11-21,178
"773",2019-11-22,190
"774",2019-11-23,186
"775",2019-11-24,129
"776",2019-11-25,176
"777",2019-11-26,154
"778",2019-11-27,200
"779",2019-11-28,193
"780",2019-11-29,173
"781",2019-11-30,212
"782",2019-12-01,207
"783",2019-12-02,147
"784",2019-12-03,151
"785",2019-12-04,264
"786",2019-12-05,214
"787",2019-12-06,249
"788",2019-12-07,151
"789",2019-12-08,165
"790",2019-12-09,219
"791",2019-12-10,229
"792",2019-12-11,147
"793",2019-12-12,222
"794",2019-12-13,230
"795",2019-12-14,177
"796",2019-12-15,178
"797",2019-12-16,214
"798",2019-12-17,157
"799",2019-12-18,162
"800",2019-12-19,205
"801",2019-12-20,170
"802",2019-12-21,160
"803",2019-12-22,113
"804",2019-12-23,261
"805",2019-12-24,123
"806",2019-12-25,359
"807",2019-12-26,169
"808",2019-12-27,187
"809",2019-12-28,165
"810",2019-12-29,104
"811",2019-12-30,125
"812",2019-12-31,157
"813",2020-01-01,426
"814",2020-01-02,291
"815",2020-01-03,148
"816",2020-01-04,127
"817",2020-01-05,169
"818",2020-01-06,206
"819",2020-01-07,279
"820",2020-01-08,165
"821",2020-01-09,271
"822",2020-01-10,201
"823",2020-01-11,158
"824",2020-01-12,140
"825",2020-01-13,193
"826",2020-01-14,179
"827",2020-01-15,178
"828",2020-01-16,236
"829",2020-01-17,137
"830",2020-01-18,206
"831",2020-01-19,54
"832",2020-01-20,55
"833",2020-01-21,126
"834",2020-01-22,215
"835",2020-01-23,156
"836",2020-01-24,149
"837",2020-01-25,175
"838",2020-01-26,124
"839",2020-01-27,147
"840",2020-01-28,187
"841",2020-01-29,194
"842",2020-01-30,112
"843",2020-01-31,135
"844",2020-02-01,169
"845",2020-02-02,149
"846",2020-02-03,134
"847",2020-02-04,99
"848",2020-02-05,114
"849",2020-02-06,104
"850",2020-02-07,209
"851",2020-02-08,201
"852",2020-02-09,149
"853",2020-02-10,186
"854",2020-02-11,208
"855",2020-02-12,157
"856",2020-02-13,175
"857",2020-02-14,146
"858",2020-02-15,110
"859",2020-02-16,132
"860",2020-02-17,159
"861",2020-02-18,162
"862",2020-02-19,169
"863",2020-02-20,170
"864",2020-02-21,289
"865",2020-02-22,129
"866",2020-02-23,123
"867",2020-02-24,174
"868",2020-02-25,161
"869",2020-02-26,170
"870",2020-02-27,157
"871",2020-02-28,266
"872",2020-02-29,183
"873",2020-03-01,130
"874",2020-03-02,125
"875",2020-03-03,173
"876",2020-03-04,181
"877",2020-03-05,175
"878",2020-03-06,131
"879",2020-03-07,176
"880",2020-03-08,116
"881",2020-03-09,141
"882",2020-03-10,153
"883",2020-03-11,149
"884",2020-03-12,194
"885",2020-03-13,201
"886",2020-03-14,598
"887",2020-03-15,123
"888",2020-03-16,205
"889",2020-03-17,127
"890",2020-03-18,153
"891",2020-03-19,310
"892",2020-03-20,208
"893",2020-03-21,141
"894",2020-03-22,106
"895",2020-03-23,152
"896",2020-03-24,231
"897",2020-03-25,252
"898",2020-03-26,216
"899",2020-03-27,221
"900",2020-03-28,338
"901",2020-03-29,338
"902",2020-03-30,218
"903",2020-03-31,255
"904",2020-04-01,216
"905",2020-04-02,246
"906",2020-04-03,158
"907",2020-04-04,150
"908",2020-04-05,106
"909",2020-04-06,219
"910",2020-04-07,162
"911",2020-04-08,278
"912",2020-04-09,113
"913",2020-04-10,107
"914",2020-04-11,182
"915",2020-04-12,153
"916",2020-04-13,160
"917",2020-04-14,190
"918",2020-04-15,259
"919",2020-04-16,356
"920",2020-04-17,199
"921",2020-04-18,167
"922",2020-04-19,156
"923",2020-04-20,519
"924",2020-04-21,250
"925",2020-04-22,170
"926",2020-04-23,118
"927",2020-04-24,193
"928",2020-04-25,160
"929",2020-04-26,183
"930",2020-04-27,168
"931",2020-04-28,262
"932",2020-04-29,615
"933",2020-04-30,291
"934",2020-05-01,190
"935",2020-05-02,194
"936",2020-05-03,162
"937",2020-05-04,254
"938",2020-05-05,245
"939",2020-05-06,141
"940",2020-05-07,78
"941",2020-05-08,88
"942",2020-05-09,115
"943",2020-05-10,132
"944",2020-05-11,68
"945",2020-05-12,103
"946",2020-05-13,120
"947",2020-05-14,96
"948",2020-05-15,104
"949",2020-05-16,121
"950",2020-05-17,468
"951",2020-05-18,213
"952",2020-05-19,122
"953",2020-05-20,170
"954",2020-05-21,135
"955",2020-05-22,153
"956",2020-05-23,113
"957",2020-05-24,106
"958",2020-05-25,145
"959",2020-05-26,425
"960",2020-05-27,207
"961",2020-05-28,181
"962",2020-05-29,111
"963",2020-05-30,88
"964",2020-05-31,165
"965",2020-06-01,125
"966",2020-06-02,97
"967",2020-06-03,65
"968",2020-06-04,92
"969",2020-06-05,172
"970",2020-06-06,116
"971",2020-06-07,168
"972",2020-06-08,163
"973",2020-06-09,138
"974",2020-06-10,105
"975",2020-06-11,261
"976",2020-06-12,100
"977",2020-06-13,81
"978",2020-06-14,107
"979",2020-06-15,110
"980",2020-06-16,187
"981",2020-06-17,142
"982",2020-06-18,225
"983",2020-06-19,176
"984",2020-06-20,88
"985",2020-06-21,288
"986",2020-06-22,70
"987",2020-06-23,96
"988",2020-06-24,80
"989",2020-06-25,53
"990",2020-06-26,98
"991",2020-06-27,149
"992",2020-06-28,131
"993",2020-06-29,135
"994",2020-06-30,176
"995",2020-07-01,242
"996",2020-07-02,150
"997",2020-07-03,166
"998",2020-07-04,118
"999",2020-07-05,120
"1000",2020-07-06,173
"1001",2020-07-07,87
"1002",2020-07-08,77
"1003",2020-07-09,96
"1004",2020-07-10,84
"1005",2020-07-11,97
"1006",2020-07-12,91
"1007",2020-07-13,76
"1008",2020-07-14,266
"1009",2020-07-15,104
"1010",2020-07-16,111
"1011",2020-07-17,307
"1012",2020-07-18,123
"1013",2020-07-19,137
"1014",2020-07-20,88
"1015",2020-07-21,132
"1016",2020-07-22,112
"1017",2020-07-23,101
"1018",2020-07-24,128
"1019",2020-07-25,61
"1020",2020-07-26,98
"1021",2020-07-27,67
"1022",2020-07-28,63
"1023",2020-07-29,64
"1024",2020-07-30,90
"1025",2020-07-31,74
"1026",2020-08-01,64
"1027",2020-08-02,52
"1028",2020-08-03,93
"1029",2020-08-04,58
"1030",2020-08-05,105
"1031",2020-08-06,90
"1032",2020-08-07,121
"1033",2020-08-08,80
"1034",2020-08-09,46
"1035",2020-08-10,67
"1036",2020-08-11,67
"1037",2020-08-12,68
"1038",2020-08-13,93
"1039",2020-08-14,73
"1040",2020-08-15,140
"1041",2020-08-16,66
"1042",2020-08-17,77
"1043",2020-08-18,84
"1044",2020-08-19,85
"1045",2020-08-20,74
"1046",2020-08-21,100
"1047",2020-08-22,128
"1048",2020-08-23,62
"1049",2020-08-24,89
